"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001570384","Хто зробить сн?г","[by] Мар'яна Прохасько","Видавництво Старого Лева","2013","9786176790273","8","4"
"000001590181","Шо?лом-Але?йхем","[by] Андрий Краснящих","Folio","2019","9789660390911","8","4"
"000001570373","до Голл?вуду з Укра?ни","[by] Стан?слав Сукненко","Самм?т-книга","2020","9789669860606","6","4"
"000001590176","замки та палаци","[by] Olena Chekhnii","Samit Book","2020","9786179509209","9","4"
"000001520296","文城 :a novel =Wencheng","余? 著","北京出版集?: 北京十月文?出版社","2021","9787530221099","8","4"
"000000199308","가남 궁체","孫榮培 [저]","大學書林","2012","9788980169627","6","4"
"000001620843","가드너 다이어리","국립수목원 저","지오북","2014","9788994242354","5","4"
"000001627541","가위바위보 :앨리스 피니 장편소설","앨리스 피니 지음","밝은세상","2023","9788984374607","8","4"
"000001637613","가출 모범생 천동기","박상기","&","2022","9791166833984","6","4"
"000001578344","가치 있는 삶","마리 루티 지음","을유문화사","2022","9788932474779","1","4"
"000001625172","갇힌 하늘","크리스틴 뢰넨스 저자, 박종윤 번역","열림원","2014","9788970637914","8","4"
"000001624986","감정의 롤러코스터","클라우디아 해먼드 저","사이언스북스","2007","9788983711953","1","4"
"000001624998","감정의 색깔","김병수","인물과사상사","2018","9788959065035","1","4"
"000001580397","갑자기 기린 선생님","소연 글","비룡소","2022","9788949162478","8","4"
"000001410511","강남 사장님 :이지음 장편동화","이지음 글씀","비룡소","2020","9788949121925","8","4"
"000001625692","개는 천재다","브라이언 헤어, 버네사 우즈","디플롯","2022","9791197413087","4","4"
"000001625122","개를 훔치는 완벽한 방법","바바라 오코너","놀","2020","9791130627519","8","4"
"000000759665","개인주의자 선언 :판사 문유석의 일상유감","문유석 [지음]","문학동네","2015","9788954637756","3","4"
"000001624357","거리로 나온 미술관","손영옥","자음과모음","2022","9788954447959","6","4"
"000000298150","거미여인의 키스","마누엘 푸익 지음","민음사","2000","9788937460371","8","4"
"000001395715","거의 모든 숫자 표현의 영어 :알면 말의 격이 달라지는 숫자 표현들만 쏙쏙!","Jonathan Davis","사람in","2020","9788960498440","7","4"
"000001577579","거의 모든 일상 표현의 영어 :익숙한 것을 영어로 알아가는 즐거움!","케빈 강","사람in","2022","9788960499751","7","4"
"000001637573","검정토끼","오세나","달그림","2020","9791197092381","8","4"
"000001564212","게으른 완벽주의자를 위한 심리학 :미루기의 악순환에서 벗어나고 싶은 당신을 위한 심리 처방","헤이든 핀치 지음","시크릿하우스","2022","9791192312200","1","4"
"000001634498","결심이 필요한 순간들 :인생의 갈림길에서 더 나은 선택을 하는 법","러셀 로버츠 지음","세계사: 세계사컨텐츠그룹","2023","9788933872260","1","4"
"000001113102","결혼. 여름","알베르 카뮈 지음","책세상","1998","9788970131078","8","4"
"000001549299","경성의 화가들, 근대를 거닐다 .[2] ,북촌편","황정수 지음","푸른역사","2022","9791156122159","6","4"
"000001637537","경제를 알아야 하는 12가지 이유","노은주","단비어린이","2022","9788963012629","3","4"
"000001634483","경제적 자유를 위한 최소한의 수학","휴 바커 지음","프시케의숲","2023","9791189336622","4","4"
"000001504322","고급와인 :「일류」를 알아야만 그 장르의 깊이를 알 수 있다","와타나베 준코 지음","Greencook(그린쿡)","2021","9788971907733","5","4"
"000001637633","고양이는 언제나","유진희","야옹서가","2022","9791191179149","5","4"
"000001589425","고통의 비밀 :통증에 관한 오해와 진실","몬티 라이먼 지음","상상스퀘어","2022","9791192389059","5","4"
"000001624692","곰돌이 푸","앨런 알렉산더 밀른","더스토리","2022","9791164455874","8","4"
"000001571911","공감에도 연습이 필요합니다 :매력적인 사람이 되기 위한 공감의 기술","권수영 지음","샘터사","2022","9788946422155","1","4"
"000001396967","공부란 무엇인가","김영민 지음","어크로스","2020","9791190030632","0","4"
"000001564146","과거가 남긴 우울 미래가 보낸 불안 :후회, 자책, 걱정, 초조를 멈추는 심리학","김아라 지음","유노북스: 유노콘텐츠그룹","2022","9791192300214","1","4"
"000001612206","과학잡학사전 통조림 :지식을 쌓으려면 통째로, 조목조목! ,일반과학편","사마키 다케오 외 지음","사람과나무사이","2023","9791188635788","4","4"
"000001620880","관찰의 인문학","알렉산드라 호로비츠 저","시드페이퍼(seed paper)","2015","9788967940270","1","4"
"000001592588","교토 갈까?","장용준 지음","서유재","2022","9791189034689","9","4"
"000001637578","구름은 어디에서 흘러오나요?","마리오 브라사르","꿈꾸는섬","2022","9791192352008","8","4"
"000000940237","국가란 무엇인가","유시민 지음","돌베개","2017","9788971998014","3","4"
"000001620847","귀족의 시대 탐미의 발견","이지은","모요사","2019","9788997066421","9","4"
"000001620636","그 사람 모세","김영봉","복있는사람","2021","9788963603919","2","4"
"000001624995","그동안 나는 너무 많이 참아왔다","강현식, 최은혜","생각의길","2020","9788965136026","1","4"
"000001620765","그러나 아름다운","제프 다이어","을유문화사","2022","9788932474618","8","4"
"000001627840","그럼에도 왜 사느냐 묻는다면","미나미 지키사이 지음","서사원","2023","9791168221741","2","4"
"000001267657","그리고 아무도 없었다 :애거서 크리스티 장편 소설","애거서 크리스티 [지음]","황금가지","2013","9788960177758","8","4"
"000001588427","그림으로 이해하는 AWS 구조와 기술 :AWS, 쉽고 재미있게 시작하자! =The structure and technology of AWS","오가사와라 시게타카 지음","길벗","2021","9791165215682","0","4"
"000001633440","그림으로 이해하는 네트워크 구조와 기술 :네트워크, 쉽고 재미있게 시작하자!","나카오 신지 지음","길벗","2023","9791140705184","0","4"
"000001637552","그림자 극장","김규아","책읽는곰","2022","9791158363130","8","4"
"000001637548","그숲의 마음아이","나은경(쓰고 그림)","봄볕","2023","9791193150108","8","4"
"000001637547","그숲의 마음아이","나은경(쓰고 그림)","봄볕","2023","9791193150108","8","4"
"000001633448","그여자가방에들어가신다","김진희","후마니타스","2023","9788964374375","3","4"
"000001620827","글래시스 로드","한지선","위즈덤하우스","2021","9791168120853","9","4"
"000000283845","금융시장의 기술적 분석","존 J. 머피 지음","국일증권경제연구소","2009","9788957820711","3","4"
"000001634753","기계 속의 악마 :생명은 어떻게 물질에 깃드는가","폴 데이비스 지음","바다출판사","2023","9791166891779","4","4"
"000001625030","기꺼이 오늘을 살다","가토 다이조","나무생각","2020","9791162181324","1","4"
"000001265787","기린과 자칼이 함께 춤출 때 :마음과 마음을 이어 주는 비폭력대화","세레나 루스트 지음","한국NVC센터","2018","9791185121260","8","4"
"000000940241","기린의 날개","히가시노 게이고 지음","재인","2017","9788990982674","8","4"
"000001373552","기생충 세계에서 살아남기 .2 =Survival in parasite","곰돌이 co. 글","Mirae N 아이세움 : 미래엔","2018","9791162334690","4","4"
"000001625141","기억 전달자","로이스 로리 저자, 장은수 번역","비룡소","2007","9788949120744","8","4"
"000001637652","김구의 소원, 하나 된 조국","허은실","천개의바람","2022","9791165732912","9","4"
"000001625875","김찬용의아트내비게이션","김찬용","아르테","2021","9788950993535","6","4"
